sheet,slug,bank_class,Shrawan 2078,Bhadra 2078,Ashwin 2078,Kartik 2078,Mangsir 2078,Poush 2078,Magh 2078,Falgun 2078,Ashadh 2078,Shrawan 2079,Bhadra 2079,Ashwin 2079,Kartik 2079,Mangsir 2079,Poush 2079,Magh 2079,Falgun 2079,Baisakh 2079,Jestha 2079,Ashadh 2079,Shrawan 2080,Bhadra 2080,Ashwin 2080,Kartik 2080,Mangsir 2080,Poush 2080,Magh 2080,Falgun 2080,Baisakh 2080,Jestha 2080,Ashadh 2080,Shrawan 2081,Bhadra 2081,Ashwin 2081,Kartik 2081,Mangsir 2081,Poush 2081,Magh 2081,Falgun 2081,Baisakh 2081,Jestha 2081,Ashadh 2081,Shrawan 2082,Bhadra 2082,Baisakh 2082,Jestha 2082,Ashadh 2082
C4,credit-deposit-ratios--call-deposit-total-deposit,finance,10.0741,9.3803,8.3056,8.4912,8.1557,9.0259,7.9604,7.7272,11.1334,8.0247,8.1041,7.9309,7.7984,7.7264,7.5412,7.4265,7.6329,8.1177,8.4855,9.1442,7.2350,7.3051,7.7307,7.8905,7.8568,7.3741,7.2902,7.3508,7.3805,8.3489,8.9136,6.8833,7.2596,7.5603,7.2220,7.5040,7.9199,7.3767,7.7078,7.1953,7.5418,7.8074,9.5267,9.2787,8.5080,8.3647,9.2324
C4,credit-deposit-ratios--call-deposit-total-deposit,system_total,8.2135,7.5115,7.4740,7.2285,6.9825,6.8028,6.7157,6.5733,8.3689,6.6058,6.4537,6.4877,6.2610,6.0739,5.9307,5.9480,6.2086,6.4874,6.5529,7.5800,6.6025,6.4548,6.1538,6.0566,6.4134,6.2995,6.4385,6.5255,6.1501,6.3952,6.7712,6.8748,6.9520,6.8343,7.2224,7.9666,7.5569,7.2557,7.2484,6.6649,6.8772,7.2744,8.1179,7.9931,7.3548,7.4719,7.4922
C4,credit-deposit-ratios--ccd-ratio,commercial,,,,,,,,,76.2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,credit-deposit-ratios--ccd-ratio,development,,,,,,,,,78.3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,credit-deposit-ratios--ccd-ratio,finance,,,,,,,,,68.4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,credit-deposit-ratios--ccd-ratio,system_total,,,,,,,,,76.3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,credit-deposit-ratios--cd-ratio,commercial,87.4500,87.8900,88.7900,90.2600,91.3700,89.9500,90.5300,90.5500,,88.3300,87.7100,87.1500,87.0300,85.9900,86.8700,86.3700,85.8108,90.5200,89.7700,86.4300,83.6800,82.6316,81.6657,81.1761,79.5908,79.8939,79.8122,79.6400,84.9741,83.9700,81.6230,78.4527,78.3977,77.8737,77.7844,78.0777,79.0218,78.9834,78.9093,79.8169,79.6426,78.7895,75.4802,75.1010,78.5684,77.7778,75.0231
C4,credit-deposit-ratios--cd-ratio,development,84.7600,87.2500,86.9600,87.4000,88.7100,87.3000,89.1400,89.8000,,85.8100,86.8100,85.0700,85.5600,85.5100,85.2600,85.8800,84.4205,89.3200,88.2100,84.3200,82.8000,82.0405,82.7579,83.4756,83.0485,83.9372,82.4440,82.6900,84.0702,83.9100,81.8021,82.6379,83.4541,83.8844,83.6632,83.9109,84.0508,85.0707,85.0889,83.1419,82.8550,82.6370,83.2824,84.0123,84.7703,84.4673,83.1763
C4,credit-deposit-ratios--cd-ratio,finance,76.2900,76.0900,82.6900,85.7800,88.5500,87.3500,89.6300,90.3400,,86.6900,87.7300,84.8200,84.9900,84.5100,81.6800,83.7600,81.9091,89.1700,89.2400,85.5900,82.4000,80.5135,80.0317,80.5308,78.6411,79.2073,77.1587,77.6500,84.6763,83.9200,81.0218,76.4352,75.7999,75.2081,75.3738,75.0501,76.8561,79.3293,79.9161,78.1451,77.3487,76.4249,77.8091,78.3692,79.7490,79.6352,78.8348
C4,credit-deposit-ratios--cd-ratio,system_total,86.9800,87.6100,88.5100,89.9000,91.0600,89.6400,90.3800,90.4700,,88.0600,87.6300,86.9000,86.8500,85.9100,86.6100,86.2800,85.6027,90.3800,89.6100,86.2200,83.5700,82.5342,81.7388,81.3807,79.8950,80.2564,80.0082,79.8700,84.8816,83.9600,81.6288,78.7955,78.8021,78.3566,78.2609,78.5372,79.4299,79.5443,79.4685,80.1045,79.8954,79.0944,76.1852,75.9032,79.1307,78.3887,75.7867
C4,credit-deposit-ratios--current-deposit-total-deposit,commercial,8.4118,8.3729,8.3312,7.7722,7.9755,9.5483,9.2532,9.4690,11.3093,8.1774,8.7264,8.6379,8.4030,8.7395,8.9775,8.8475,9.0508,9.5882,9.9435,9.9800,5.6217,7.0381,7.5490,6.9730,7.1328,7.5437,6.9995,7.2462,8.6464,8.9166,8.6817,5.5817,5.6963,5.9865,5.8232,5.8231,6.1488,5.7932,5.9486,5.5425,5.7298,6.4046,6.1543,6.3895,6.0602,6.1970,7.7805
C4,credit-deposit-ratios--current-deposit-total-deposit,development,2.1040,2.2062,2.1943,1.7330,1.6856,1.9230,1.6948,1.5619,3.1244,1.3186,1.3536,1.5551,1.3704,1.2678,1.4900,1.2521,1.3248,1.4481,1.5233,1.9494,1.3713,1.3739,1.5782,1.3178,1.4091,1.6563,1.4817,1.4406,1.4587,1.5240,1.9349,1.6581,1.6996,1.9478,1.7199,1.8984,2.2170,1.9260,1.9622,1.4409,1.5368,1.8868,2.0812,2.1382,2.0606,2.1586,2.6886
C4,credit-deposit-ratios--current-deposit-total-deposit,finance,0.9959,1.2317,1.2363,1.3475,0.8302,1.1707,1.0060,0.9046,1.4443,0.7579,0.8042,1.3145,1.8829,1.2241,1.3460,1.0011,0.9264,0.7706,0.8126,1.7964,0.7559,0.7332,1.0443,0.8287,1.2761,1.2302,1.0802,1.0896,0.8488,0.8137,1.2513,1.1229,1.1689,1.2559,1.0994,1.3152,1.2934,1.1363,1.2486,1.1272,1.0736,1.2509,1.1397,1.0331,1.0837,1.1097,1.4995
C4,credit-deposit-ratios--current-deposit-total-deposit,system_total,7.6594,7.6411,7.5985,7.0495,7.2111,8.6332,8.3625,8.5390,10.3535,7.3471,7.8409,7.7796,7.5673,7.8481,8.0755,7.9374,8.1248,8.6231,8.9423,9.0211,5.1003,6.3534,6.8395,6.3073,6.4704,6.8620,6.3549,6.5677,7.7815,8.0290,7.8675,5.1274,5.2385,5.5261,5.3555,5.3767,5.6950,5.3589,5.5066,5.0604,5.2381,5.8782,5.7126,5.9342,5.6148,5.7509,7.2279
C4,credit-deposit-ratios--deprived-sector-loan-total-loan,commercial,7.4327,7.4327,7.8014,7.8014,7.8014,7.6900,7.6900,7.6900,7.4327,6.8289,6.8289,6.7276,6.7276,6.7276,6.7097,6.7097,6.7097,7.2269,7.2269,6.8289,6.4948,6.4948,6.4233,6.4233,6.4233,6.3164,6.3164,6.3164,6.4260,6.4260,6.4948,6.0262,6.0262,5.9784,5.9784,5.9784,5.7389,5.7389,5.7389,6.1198,6.1198,6.0262,5.4044,5.4044,5.6007,5.6007,5.4044
C4,credit-deposit-ratios--deprived-sector-loan-total-loan,development,14.8969,14.8969,14.3610,14.3610,14.3610,13.8300,13.8300,13.8300,14.8969,11.2526,11.2526,11.3490,11.3490,11.3490,10.8993,10.8993,10.8993,14.3819,14.3819,11.2526,8.7763,8.7763,11.2388,11.2388,11.2388,11.1795,11.1795,11.1795,12.1085,12.1085,8.7763,7.7411,7.7411,7.7612,7.7612,7.7612,7.4708,7.4708,7.4708,8.6296,8.6296,7.7411,6.6120,6.6120,7.1216,7.1216,6.6120
C4,credit-deposit-ratios--deprived-sector-loan-total-loan,finance,13.0535,13.0535,6.9130,6.9130,6.9130,9.2400,9.2400,9.2400,13.0535,8.1642,8.1642,7.2407,7.2407,7.2407,7.0533,7.0533,7.0533,8.7163,8.7163,8.1642,8.7600,8.7600,7.3746,7.3746,7.3746,7.0582,7.0582,7.0582,7.5207,7.5207,8.7600,7.2741,7.2741,7.1858,7.1858,7.1858,7.0495,7.0495,7.0495,7.1103,7.1103,7.2741,5.4816,5.4816,5.4711,5.4711,5.4816
C4,credit-deposit-ratios--deprived-sector-loan-total-loan,system_total,8.2484,8.2484,8.3895,8.3895,8.3895,8.2800,8.2800,8.2800,8.2484,7.2692,7.2692,7.1707,7.1707,7.1707,7.1100,7.1100,7.1100,7.8771,7.8771,7.2692,6.7548,6.7548,6.8973,6.8973,6.8973,6.8003,6.8003,6.8003,6.8837,6.8837,6.7548,6.2159,6.2159,6.1735,6.1735,6.1735,5.9313,5.9313,5.9313,6.3801,6.3801,6.2159,5.5204,5.5204,5.7442,5.7442,5.5204
C4,credit-deposit-ratios--fixed-deposit-total-deposit,commercial,48.2226,48.7663,49.3026,51.0283,52.6800,52.5182,52.7474,53.5412,45.6505,56.8304,56.8352,56.8817,57.9534,58.2227,58.3647,58.1574,57.8512,54.5669,55.0308,53.6165,59.8573,59.4869,58.4946,58.6787,59.1826,58.3884,58.0740,57.1803,58.1989,57.9928,56.9801,56.4146,55.7536,53.9518,53.4739,51.8829,51.5305,51.4390,50.7124,57.6560,57.2361,55.2002,47.7822,47.2989,49.9918,49.4943,47.5864
C4,credit-deposit-ratios--fixed-deposit-total-deposit,development,57.7150,57.6590,58.0725,59.9985,62.1928,61.9064,63.3276,64.8609,54.5972,67.0931,67.6074,67.2206,68.8656,69.3305,68.5173,69.5963,69.6491,64.2833,65.9132,64.2055,67.6287,68.8054,68.3922,67.1169,67.5687,67.3280,68.2880,66.8059,68.7478,68.2877,66.5855,61.0911,59.0195,56.4664,57.2245,56.7534,55.4725,55.3456,54.8112,65.1189,64.5623,61.4215,48.2168,47.0600,53.2361,51.5102,48.8898
C4,credit-deposit-ratios--fixed-deposit-total-deposit,finance,58.7746,57.3047,56.1172,60.4034,63.5292,63.9118,66.2651,67.3926,56.5671,71.0186,71.2215,71.6637,68.3056,72.9596,72.9199,73.1283,73.2439,70.1303,70.8870,68.6348,72.8334,74.0698,72.8941,71.7857,72.3144,72.2495,72.7557,72.3252,73.1053,72.7492,70.9962,71.3514,70.4818,69.2729,69.1784,67.2650,66.7911,67.6471,66.2974,71.8811,71.8552,70.2107,65.2914,65.4872,66.7676,66.4784,65.2912
C4,credit-deposit-ratios--fixed-deposit-total-deposit,system_total,49.3431,49.7872,50.2874,52.0985,53.8368,53.6658,54.0323,54.9034,46.6977,58.1354,58.1850,58.2179,59.2550,59.6199,59.6734,59.5919,59.3253,55.8199,56.4059,54.9665,60.8910,60.6958,59.7409,59.7480,60.2411,59.5052,59.3402,58.4028,59.5361,59.2967,58.2069,57.1499,56.3513,54.4869,54.1306,52.6337,52.1904,52.0942,51.3671,58.6574,58.2255,56.0818,48.1381,47.6047,50.5866,49.9792,48.0176
C4,credit-deposit-ratios--npl-total-loan,commercial,1.4064,1.4064,1.2312,1.2312,1.2312,1.1800,1.1800,1.1800,1.4064,1.2010,1.2010,1.8341,1.8341,1.8341,2.4938,2.4938,2.4938,1.3187,1.3187,1.2010,2.9811,2.9811,3.6085,3.6085,3.6085,3.6322,3.6322,3.6322,3.2327,3.2327,2.9811,3.7601,3.7601,4.2808,4.2808,4.2808,4.7264,4.7264,4.7264,3.8864,3.8864,3.7601,4.4394,4.4394,5.0450,5.0450,4.4394
C4,credit-deposit-ratios--npl-total-loan,development,1.3048,1.3048,1.4639,1.4639,1.4639,1.4200,1.4200,1.4200,1.3048,1.3609,1.3609,2.3185,2.3185,2.3185,2.8159,2.8159,2.8159,1.4885,1.4885,1.3609,2.4862,2.4862,3.1875,3.1875,3.1875,3.6107,3.6107,3.6107,3.4047,3.4047,2.4862,3.6184,3.6184,4.3677,4.3677,4.3677,5.1100,5.1100,5.1100,3.6334,3.6334,3.6184,5.0258,5.0258,5.5648,5.5648,5.0258
C4,credit-deposit-ratios--npl-total-loan,finance,6.1857,6.1857,7.8446,7.8446,7.8446,7.0500,7.0500,7.0500,6.1857,6.2303,6.2303,6.9879,6.9879,6.9879,7.8179,7.8179,7.8179,7.0034,7.0034,6.2303,7.5952,7.5952,8.3658,8.3658,8.3658,9.1776,9.1776,9.1776,8.1937,8.1937,7.5952,9.8716,9.8716,10.8371,10.8371,10.8371,12.8512,12.8512,12.8512,10.3955,10.3955,9.8716,11.0459,11.0459,13.0356,13.0356,11.0459
C4,credit-deposit-ratios--npl-total-loan,system_total,1.4781,1.4781,1.3671,1.3671,1.3671,1.3100,1.3100,1.3100,1.4781,1.3141,1.3141,1.9793,1.9793,1.9793,2.6268,2.6268,2.6268,1.4432,1.4432,1.3141,3.0213,3.0213,3.6569,3.6569,3.6569,3.7329,3.7329,3.7329,3.3434,3.3434,3.0213,3.8641,3.8641,4.4160,4.4160,4.4160,4.9167,4.9167,4.9167,3.9849,3.9849,3.8641,4.6176,4.6176,5.2418,5.2418,4.6176
C4,credit-deposit-ratios--saving-deposit-total-deposit,commercial,34.2272,34.3729,34.0137,33.1256,31.5949,30.4585,30.3824,29.3111,33.9212,27.1665,26.7300,26.8969,26.3400,25.9657,25.8226,26.1254,25.9681,28.3041,27.3704,27.7595,27.0930,26.2073,27.0334,27.5237,26.5406,26.9836,27.6820,28.2817,26.1454,25.8980,26.8661,30.4171,30.9016,32.5306,32.7419,33.4955,34.0520,34.7805,35.3107,29.3461,29.3878,30.4360,37.2976,37.6792,35.8565,36.0719,36.5570
C4,credit-deposit-ratios--saving-deposit-total-deposit,development,30.5444,31.2631,30.1719,28.8553,26.9175,26.2479,26.2454,25.3628,31.3718,23.2323,23.0270,23.0400,22.1601,22.1448,22.2185,22.4438,22.4271,24.9339,23.4901,23.6732,23.5181,22.5904,23.2106,24.9192,24.0703,24.3070,24.0966,25.3727,22.9805,22.8420,23.2417,29.8578,31.8269,34.2309,33.5555,33.7655,34.4293,35.2075,35.9617,26.8374,27.2213,28.9705,40.9225,42.2022,37.1110,38.4838,39.7448
C4,credit-deposit-ratios--saving-deposit-total-deposit,finance,28.5004,30.3377,32.5954,28.0581,25.9493,24.4096,23.2040,22.4546,29.0314,18.7452,18.4945,17.7183,20.6460,16.7206,16.9196,17.1758,16.9087,19.5303,18.3904,18.9938,17.9460,16.9562,17.4162,18.5481,17.6456,18.2626,18.0545,18.3678,17.2881,16.9255,17.4087,19.6848,20.2941,21.2007,21.7413,23.1182,23.2491,23.0735,24.0692,18.7975,18.5970,19.8104,23.9811,24.1460,23.5776,23.9861,23.9250
C4,credit-deposit-ratios--saving-deposit-total-deposit,system_total,33.7609,33.9954,33.6117,32.6044,31.0201,29.9255,29.8436,28.7966,33.5892,26.6056,26.2003,26.3237,25.8064,25.4007,25.2818,25.5800,25.4364,27.8018,26.8136,27.1784,26.5548,25.6677,26.4733,27.0985,26.1315,26.5617,27.1497,27.8068,25.6582,25.4213,26.3213,30.1489,30.7712,32.4570,32.5944,33.3114,33.8733,34.5986,35.1593,28.8937,28.9652,30.0880,37.3673,37.8190,35.7424,36.0637,36.6048
C4,credit-deposit-ratios--total-credit-gdp,commercial,88.1991,90.8869,93.7152,94.8261,96.2416,97.3983,97.6741,98.1773,87.1948,86.3803,86.7766,87.2059,87.3462,87.4997,88.3960,88.8758,88.7432,86.6951,86.8020,86.2237,79.8908,80.8085,82.2162,81.8651,82.1281,83.4792,83.6071,83.6086,80.3598,79.9149,80.1546,80.1590,81.0794,82.0706,82.0200,82.7543,84.4282,84.6095,84.9998,83.9501,79.5768,80.0911,81.0961,81.9296,80.3752,80.9668,81.2668
C4,credit-deposit-ratios--total-credit-gdp,development,9.1470,9.5196,9.8975,10.0401,10.2894,10.2752,10.2923,10.3929,8.9885,9.1092,9.2843,9.3614,9.4413,9.4589,9.5317,9.4507,9.4249,9.1921,9.2195,9.1708,8.7259,8.7599,8.9491,8.9640,9.0003,9.2346,9.2101,9.2181,8.5870,8.6458,8.7689,8.7557,8.8285,8.9668,8.8983,8.9489,9.0755,8.9999,9.0146,9.2271,8.7249,8.7896,8.5305,8.5604,8.5004,8.5187,8.6228
C4,credit-deposit-ratios--total-credit-gdp,finance,1.6520,1.6910,1.8033,1.9192,1.9956,2.0409,2.0645,2.0993,1.6768,1.8804,1.8929,1.8873,1.8972,1.8958,1.9177,1.9176,1.9102,1.8848,1.8923,1.7789,1.7247,1.7122,1.7348,1.7461,1.7430,1.7569,1.7665,1.7845,1.7209,1.7158,1.7269,1.7581,1.7799,1.8004,1.7882,1.7873,1.8084,1.7802,1.7817,1.8333,1.7301,1.7475,1.6790,1.6926,1.6596,1.6689,1.7059
C4,credit-deposit-ratios--total-credit-gdp,system_total,98.9981,102.0975,105.4160,106.7854,108.5265,109.7145,110.0310,110.6695,97.8601,97.3698,97.9537,98.4547,98.6847,98.8544,99.8454,100.2440,100.0783,97.7720,97.9138,97.1734,90.3414,91.2806,92.9002,92.5753,92.8714,94.4707,94.5837,94.6112,90.6677,90.2764,90.6505,90.6727,91.6878,92.8378,92.7066,93.4905,95.3121,95.3896,95.7961,95.0105,90.0318,90.6282,91.3056,92.1826,90.5352,91.1544,91.5955
C4,credit-deposit-ratios--total-credit-total-deposit,commercial,91.2075,92.9069,93.6087,95.5224,96.8159,96.0639,96.6553,96.6310,88.4682,94.5002,93.8035,93.0160,92.9525,91.8156,90.9188,90.8857,90.2375,96.2025,95.6614,92.0375,87.0401,85.9027,84.7274,84.2895,82.9956,82.7358,82.6577,82.2256,89.2949,87.5786,84.8050,79.9719,79.7732,79.0113,79.2108,79.4663,80.3945,80.4257,80.2671,82.5586,81.9375,79.3682,76.3550,76.0397,79.8318,78.9425,75.8699
C4,credit-deposit-ratios--total-credit-total-deposit,development,86.6478,89.6281,89.3795,89.9587,91.5073,90.6614,92.9885,93.6386,86.0153,88.5917,89.6744,87.7364,88.3652,88.3304,86.5381,86.0933,85.5415,93.0299,92.2362,87.3294,83.6145,82.8475,83.3654,84.3028,83.8727,85.0880,84.1055,83.5701,84.9176,84.6828,82.5593,83.4237,84.2589,84.8637,84.1377,84.2728,84.3672,85.0733,85.4194,83.6395,83.7303,82.1789,83.6156,84.3536,85.1764,84.7954,83.5315
C4,credit-deposit-ratios--total-credit-total-deposit,finance,78.0162,78.2000,84.9095,88.2018,91.9524,91.0658,93.6884,94.0084,80.0849,89.1266,90.3375,86.8508,87.5169,86.7165,85.1539,85.2032,85.1631,92.0799,92.1244,82.5647,83.8562,81.8678,81.3014,82.3997,80.5754,80.5744,78.7440,78.5731,85.8712,84.8996,81.9335,77.2152,76.7148,76.7951,76.2861,75.9439,77.6709,80.1828,80.6660,79.3639,78.4536,77.5185,77.8404,78.6823,80.2740,80.1489,79.2592
C4,credit-deposit-ratios--total-credit-total-deposit,system_total,90.5121,92.3046,93.0323,94.8295,96.1933,95.4339,96.2431,96.2910,88.0796,93.8057,93.3270,92.3618,92.3833,91.3676,90.3646,90.2966,89.6719,95.8126,95.2577,91.3807,86.6344,85.5210,84.5278,84.2543,83.0330,82.9185,82.7196,82.2824,88.7942,87.2405,84.5261,80.2370,80.1219,79.4963,79.5994,79.8313,80.7026,80.8378,80.7328,82.5981,82.0377,79.5956,77.0067,76.7899,80.3131,79.4770,76.5922
C4,credit-deposit-ratios--total-deposit-gdp,commercial,96.7015,97.8257,100.1138,99.2710,99.4068,101.3891,101.0541,101.6003,98.5606,91.4076,92.5089,93.7537,93.9687,95.2994,97.2253,97.7885,98.3441,90.1173,90.7388,93.6832,91.7863,94.0698,97.0362,97.1238,98.9548,100.8985,101.1487,101.6819,89.9937,91.2494,94.5164,100.2339,101.6374,103.8720,103.5465,104.1377,105.0174,105.2021,105.8962,101.6855,97.1189,100.9109,106.2093,107.7458,100.6807,102.5643,107.1134
C4,credit-deposit-ratios--total-deposit-gdp,development,10.5566,10.6212,11.0736,11.1608,11.2443,11.3336,11.0684,11.0989,10.4499,10.2822,10.3533,10.6699,10.6844,10.7086,11.0144,10.9773,11.0179,9.8808,9.9956,10.5014,10.4359,10.5736,10.7348,10.6331,10.7309,10.8530,10.9506,11.0304,10.1121,10.2096,10.6214,10.4954,10.4778,10.5661,10.5759,10.6189,10.7571,10.5790,10.5533,11.0320,10.4203,10.6957,10.2020,10.1483,9.9798,10.0462,10.3228
C4,credit-deposit-ratios--total-deposit-gdp,finance,2.1175,2.1624,2.1238,2.1759,2.1702,2.2412,2.2036,2.2331,2.0937,2.1098,2.0954,2.1731,2.1678,2.1862,2.2521,2.2506,2.2430,2.0469,2.0540,2.1545,2.0567,2.0915,2.1338,2.1191,2.1632,2.1805,2.2433,2.2712,2.0040,2.0209,2.1077,2.2769,2.3202,2.3445,2.3441,2.3535,2.3283,2.2202,2.2087,2.3100,2.2052,2.2543,2.1570,2.1511,2.0674,2.0822,2.1523
C4,credit-deposit-ratios--total-deposit-gdp,system_total,109.3756,110.6094,113.3112,112.6077,112.8213,114.9638,114.3261,114.9323,111.1043,103.7995,104.9576,106.5967,106.8209,108.1942,110.4917,111.0164,111.6050,102.0450,102.7884,106.3391,104.2789,106.7348,109.9048,109.8760,111.8488,113.9320,114.3426,114.9835,102.1099,103.4799,107.2455,113.0062,114.4354,116.7825,116.4665,117.1101,118.1028,118.0013,118.6583,115.0275,109.7444,113.8608,118.5683,120.0452,112.7279,114.6927,119.5885
C4,credit-deposit-ratios--total-llp-total-loan,commercial,2.3965,2.3256,2.3339,2.3066,2.2726,2.2703,2.2639,2.2523,2.4241,2.2777,2.2673,2.5737,2.5696,2.5651,2.5391,2.5254,2.5292,2.3269,2.3240,2.2818,3.4400,3.4274,3.7835,3.7975,3.7855,4.2643,4.2640,4.2645,2.5181,2.5321,2.5245,4.3759,4.3153,4.5217,4.5332,4.5982,5.0493,5.0340,5.0029,4.5181,4.4671,4.4050,4.9515,4.9132,5.2243,5.2128,4.9679
